ID,tweet
176, TayoJegedeSAN candidate and his wife waiting at PU009 Ward 4 Sacred Heart Primary School They wait on queue to get accredited and cast their votes 
177, Just like Nigerians feared there were sporadic shootings at Poll xc3 xadng Unit 11 Edo Lodge in Oke Ijebu Akure This was confirmed by the police spokesman in the state Tee Lee Ikoro 
178, In Akoko Southwest LGA Ward 06 Oka iv PU 006 St Anthony Pry School voting has begun as the aged vote first The card reader is working well with hygiene protocols observed 
179, Accreditation begins at polling unit in Owo Ondo 
180, massive crowd of voters completely ignore social distancing at PU 14 Irele LG 
181, Social distancing rule openly flouted as eager voters queue at Ward 01 Polling Unit 01 in Ajiferere Ile Oluji Okeigbo LGA Ondo 
182, Voting is about to commence and voters are conducting themselves in an orderly manner at PU 2 Ward 6 of Akoko Southwest in Ondo 
183, It seems that the Ondo people very politically conscious as voters at Unit 3 Ward 3 of Akure South LGA come out to check their names in preparation for accreditation 
184, Voters at Okelisa Agunla Idanre LGA throw caution to the wind despite COVID 19 protocols as they check their names before voting commences 
185, Pasting of voters list ongoing in Polling Unit 03 Ward 3 Ekan Ikare Akoko Northeast LGA 
186, Voters disregard protocols social distancing as voters they check for their names at Okelisa Agunla Idanre LGA Photo credit 
187, Not less than nine have been stationed at Polling Unit 001 Ward 6 St Paul Primary school in Ose local government area ahead of the voting exercise 
188, With the stakes raised very high and eyes peeled the electorate at Polling Unit 18 Ward 2 of Okitipupa local government area in Ondo are keenly checking their names on the voters register 
189, inecnigeria officials setting up for the Ondo election at PU 015 Ward 2 Okitipupa LGA of the state Photo credit Sahara Reporters Live update 
190, The day is here Saturday October 10 It is Residents in Ondo state are going out to vote and choose their next governor Legit brings you all the details in our live updates xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 
191, Following his victory at the polls has presented the certificate of return to Edo 
192, The only card reader at polling unit 3 in Uluoke Ayaoghena Ward 10 Etsako West LGA has been experiencing technical issues and could not be used 
193, Governor Godwin Obaseki finally casts his vote after queueing up like other voters 
194, Edo state deputy governor Philip Shaibu casting his vote at his Ward 11 unit 5 Shaibu has been Governor Godwin Obaseki right hand man in all his pre election battles ordeals and victories 
195, The deputy governorship candidate of the All Progressives Congress Gani Audu has cast his votes at the polling unit 
196, The ex national chairman of has cast his vote at polling unit 001 Ward 10 Iyamho Etsako West LGA 
197, Military helicopter hovers over Benin City as voting continues Already there is chaos in the polling unit 19 ward 04 of Oredo local government area of Edo following the presence of Governor Godwin Obaseki 
198, No mask no entry An INEC official enforces the use of facemask in Oredo local government area Life first before politics Only the living can reap the dividends of democracy 
199, The incumbent governor of Edo Godwin Obaseki observes COVID 19 hygiene protocol washes his hands before casting vote This is no doubt leadership by example 
200, Voting is not going on in Evbiobe primary school PU 6 Ward 4 in Owan West due to unavailability of result sheets 
201, blind voter casts his vote in Unit 20 Ward 4 at United Baptist Church Benin City Oredo local government area This is political representation in action 
202, PastorIzeIyamu of the who has the backing of has cast his vote in Iguododo ward five unit 26 Orhiomwon LGA Ize Iyamu is full of confidence and has even boasted that victory will be his at the end of the election 
203, Police officers from the Irrua Division arrest and detain Centre for Democracy and Development observers led by Eric Eniogboria covering Esan Central LGA Edo are out to ensure security having learned their lessons from the past 
204, Some voters in polling units 4 and 5 of ward 11 Etsako West LGA have refused to wear nose mask and keep to the social distancing rules to avoid the spread of COVID 19 The voters seem more eager to cast their votes than to obey safety rules 
205, Voters have queued up and are ready for voting at the Ohordua Eguare Primary School Ward 4 PU 001 in Esan Southeast local government area It is observable that even the people of Edo in rural areas are poised to decide their future 
206, staff begin movement to polling units at Esan Southeast in Edo before the commencement of the voting exercise Nigeria electoral umpire is into last minute preparations to dot its and cross the to avoid errors 
207, The Edo state commissioner of Lafimihan Adeoye prior to the voting exercise led policemen to detain dozens of cars of eligible voters going to their various units in Water Resources Ugbor Benin City 
